N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
4M	256	cuda_fake	aos	16	16	16	1	2	7.93914	0.118302
4M	256	cuda_fake	aos	16	16	16	1	3	8.67051	0.129201
4M	256	cuda_fake	aos	16	16	16	1	4	8.6688	0.129175
4M	256	cuda_fake	aos	16	16	16	1	5	8.66892	0.129177
4M	256	cuda_fake	aos	16	16	32	1	1	4.83707	0.0720779
4M	256	cuda_fake	aos	16	16	32	1	2	4.8355	0.0720546
4M	256	cuda_fake	aos	16	16	32	1	3	4.83514	0.0720491
4M	256	cuda_fake	aos	16	16	32	1	4	4.83678	0.0720736
4M	256	cuda_fake	aos	16	16	32	1	5	4.83499	0.0720469
4M	256	cuda_fake	aos	16	16	64	1	1	4.83584	0.0720597
4M	256	cuda_fake	aos	16	16	64	1	2	4.83503	0.0720476
4M	256	cuda_fake	aos	16	16	64	1	3	4.8346	0.0720412
4M	256	cuda_fake	aos	16	16	64	1	4	4.83652	0.0720697
4M	256	cuda_fake	aos	16	16	64	1	5	4.83791	0.0720904
4M	256	cuda_fake	aos	16	64	1	1	1	8.19062	0.12205
4M	256	cuda_fake	aos	16	64	1	1	2	8.18806	0.122012
4M	256	cuda_fake	aos	16	64	1	1	3	8.19223	0.122074
4M	256	cuda_fake	aos	16	64	1	1	4	8.20027	0.122194
4M	256	cuda_fake	aos	16	64	1	1	5	8.19123	0.122059
4M	256	cuda_fake	aos	16	64	2	1	1	4.83656	0.0720704
4M	256	cuda_fake	aos	16	64	2	1	2	4.8348	0.0720441
4M	256	cuda_fake	aos	16	64	2	1	3	4.83367	0.0720272
4M	256	cuda_fake	aos	16	64	2	1	4	4.83465	0.0720419
4M	256	cuda_fake	aos	16	64	2	1	5	4.83413	0.0720342
4M	256	cuda_fake	aos	16	64	4	1	1	4.83532	0.0720519
4M	256	cuda_fake	aos	16	64	4	1	2	4.83509	0.0720484
4M	256	cuda_fake	aos	16	64	4	1	3	4.83341	0.0720235
4M	256	cuda_fake	aos	16	64	4	1	4	4.83431	0.0720369
4M	256	cuda_fake	aos	16	64	4	1	5	4.83378	0.0720289
4M	256	cuda_fake	aos	16	64	8	1	1	4.83675	0.0720732
4M	256	cuda_fake	aos	16	64	8	1	2	4.83506	0.072048
4M	256	cuda_fake	aos	16	64	8	1	3	4.83331	0.0720219
4M	256	cuda_fake	aos	16	64	8	1	4	4.83658	0.0720707
4M	256	cuda_fake	aos	16	64	8	1	5	4.83446	0.0720391
4M	256	cuda_fake	aos	16	64	16	1	1	4.83421	0.0720354
4M	256	cuda_fake	aos	16	64	16	1	2	4.83623	0.0720654
4M	256	cuda_fake	aos	16	64	16	1	3	4.8358	0.072059
4M	256	cuda_fake	aos	16	64	16	1	4	4.83994	0.0721207
4M	256	cuda_fake	aos	16	64	16	1	5	4.83501	0.0720473
4M	256	cuda_fake	aos	16	64	32	1	1	4.83511	0.0720487
4M	256	cuda_fake	aos	16	64	32	1	2	4.83592	0.0720608
4M	256	cuda_fake	aos	16	64	32	1	3	4.83481	0.0720443
4M	256	cuda_fake	aos	16	64	32	1	4	4.83592	0.0720609
4M	256	cuda_fake	aos	16	64	32	1	5	4.83598	0.0720617
4M	256	cuda_fake	aos	16	64	64	1	1	4.83987	0.0721197
4M	256	cuda_fake	aos	16	64	64	1	2	4.83827	0.0720958
4M	256	cuda_fake	aos	16	64	64	1	3	4.83776	0.0720883
4M	256	cuda_fake	aos	16	64	64	1	4	4.837	0.0720769
4M	256	cuda_fake	aos	16	64	64	1	5	4.83835	0.0720971
4M	256	cuda_fake	aos	16	256	1	1	1	3.99046	0.0594625
