N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	16	16	1	1	4	13.7393	0.102366
8M	256	cuda_fake	aos	16	16	1	1	5	13.7388	0.102362
8M	256	cuda_fake	aos	16	16	2	1	1	6.88207	0.0512754
8M	256	cuda_fake	aos	16	16	2	1	2	6.88187	0.0512739
8M	256	cuda_fake	aos	16	16	2	1	3	6.88222	0.0512765
8M	256	cuda_fake	aos	16	16	2	1	4	6.88186	0.0512739
8M	256	cuda_fake	aos	16	16	2	1	5	6.51056	0.0485075
8M	256	cuda_fake	aos	16	16	4	1	1	6.51254	0.0485222
8M	256	cuda_fake	aos	16	16	4	1	2	6.36217	0.0474018
8M	256	cuda_fake	aos	16	16	4	1	3	6.3595	0.047382
8M	256	cuda_fake	aos	16	16	4	1	4	6.35795	0.0473704
8M	256	cuda_fake	aos	16	16	4	1	5	6.35972	0.0473836
8M	256	cuda_fake	aos	16	16	8	1	1	3.19174	0.0237803
8M	256	cuda_fake	aos	16	16	8	1	2	3.18981	0.0237659
8M	256	cuda_fake	aos	16	16	8	1	3	3.19018	0.0237687
8M	256	cuda_fake	aos	16	16	8	1	4	3.19566	0.0238095
8M	256	cuda_fake	aos	16	16	8	1	5	3.19092	0.0237742
8M	256	cuda_fake	aos	16	16	16	1	1	1.60503	0.0119584
8M	256	cuda_fake	aos	16	16	16	1	2	1.60512	0.0119591
8M	256	cuda_fake	aos	16	16	16	1	3	1.60538	0.011961
8M	256	cuda_fake	aos	16	16	16	1	4	1.60485	0.0119571
8M	256	cuda_fake	aos	16	16	16	1	5	1.60647	0.0119691
8M	256	cuda_fake	aos	16	16	32	1	1	1.30899	0.00975271
8M	256	cuda_fake	aos	16	16	32	1	2	1.30822	0.00974698
8M	256	cuda_fake	aos	16	16	32	1	3	1.31384	0.00978885
8M	256	cuda_fake	aos	16	16	32	1	4	1.30843	0.00974856
8M	256	cuda_fake	aos	16	16	32	1	5	1.30877	0.00975113
8M	256	cuda_fake	aos	16	16	64	1	1	1.30963	0.0097575
8M	256	cuda_fake	aos	16	16	64	1	2	1.30938	0.00975565
8M	256	cuda_fake	aos	16	16	64	1	3	1.31062	0.00976489
8M	256	cuda_fake	aos	16	16	64	1	4	1.41644	0.0105533
8M	256	cuda_fake	aos	16	16	64	1	5	1.41662	0.0105547
8M	256	cuda_fake	aos	16	64	1	1	1	3.26209	0.0243044
8M	256	cuda_fake	aos	16	64	1	1	2	3.26132	0.0242987
